tag,patterns,responses
ICTC,What is ICTC?,ICTC stands for Information Communication and Technology Center.
ICTC,What is the meaning of ICTC?,ICTC stands for Information Communication and Technology Center.
INTRO,What is INTRO?,INTRO stands for Introduction to La Salle.
INTRO,What is the meaning of INTRO?,INTRO stands for Introduction to La Salle.
ISA,What is ISA?,ISA stands for International Student Association.
ISA,What is the meaning of ISA?,ISA stands for International Student Association.
ISO,What is ISO?,ISO stands for International Student Office.
ISO,What is the meaning of ISO?,ISO stands for International Student Office.
JFH,What is JFH?,JFH stands for Julian Felipe Hall.
JFH,What is the meaning of JFH?,JFH stands for Julian Felipe Hall.
LACASS,What is LACASS?,LACASS stands for Lasallian Campus Advisers' 2019 Seminar
LACASS,What is the meaning of LACASS?,LACASS stands for Lasallian Campus Advisers' 2019 Seminar
LCDC,What is LCDC?,LCDC stands for Lasallian Community Development Center.
LCDC,What is the meaning of LCDC?,LCDC stands for Lasallian Community Development Center.
LLC,What is LLC?,LLC stands for Language Learning Center.
LLC,What is the meaning of LLC?,LLC stands for Language Learning Center.
LOA,What is LOA?,LOA stands for Leave of Absence.
LOA,What is the meaning of LOA?,LOA stands for Leave of Absence.
LPB,What is LPB?,LPB stands for Lasallian Pop Band.
LPB,What is the meaning of LPB?,LPB stands for Lasallian Pop Band.
LPNFDC,What is LPNFDC?,LPNFDC stands for Lasallian Pointes N' Flexes Dance Company.
LPNFDC,What is the meaning of LPNFDC?,LPNFDC stands for Lasallian Pointes N' Flexes Dance Company.
LSFDC,What is LSFDC?,LSFDC stands for La Salle Filipiniana Dance Company.
LSFDC,What is the meaning of LSFDC?,LSFDC stands for La Salle Filipiniana Dance Company.
MCO,What is MCO?,MCO stands for Marketing Communication Office.
MCO,What is the meaning of MCO?,MCO stands for Marketing Communication Office.
NSO,What is NSO?,NSO stands for National Statistics Office.
NSO,What is the meaning of NSO?,NSO stands for National Statistics Office.
NSTP,What is NSTP?,NSTP stands for National Service Training Program.
NSTP,What is the meaning of NSTP?,NSTP stands for National Service Training Program.
OPAC,What is OPAC?,OPAC stands for Online Public Access Catalog.
OPAC,What is the meaning of OPAC?,OPAC stands for Online Public Access Catalog.
OSS,What is OSS?,OSS stands for Office of Student Services.
OSS,What is the meaning of OSS?,OSS stands for Office of Student Services.
OUR,What is OUR?,OUR stands for Office of the University Registrar.
OUR,What is the meaning of OUR?,OUR stands for Office of the University Registrar.
PAG,What is PAG?,PAG stands for Performing Arts Group.
PAG,What is the meaning of PAG?,PAG stands for Performing Arts Group.
PAGASA,What is PAGASA?,"PAGASA stands for Philippines Atmospheric, Geophysical and Astronomical Services Administration."
PAGASA,What is the meaning of PAGASA?,"PAGASA stands for Philippines Atmospheric, Geophysical and Astronomical Services Administration."
PCF,What is PCF?,PCF stands for Parental Consent Form.
PCF,What is the meaning of PCF?,PCF stands for Parental Consent Form.
PE,What is PE?,PE stands for Physical Education.
PE,What is the meaning of PE?,PE stands for Physical Education.
PMO,What is PMO?,PMO stands for Presidential Management Office.
PMO,What is the meaning of PMO?,PMO stands for Presidential Management Office.
POA,What is POA?,POA stands for Plan of Activities.
POA,What is the meaning of POA?,POA stands for Plan of Activities.
POLCA,What is POLCA?,POLCA stands for Parents of La Salle Cavite.
POLCA,What is the meaning of POLCA?,POLCA stands for Parents of La Salle Cavite.
ROTC,What is ROTC?,ROTC stands for Reserve Officers Training Corps.
ROTC,What is the meaning of ROTC?,ROTC stands for Reserve Officers Training Corps.
RSO,What is RSO?,RSO stands for Recognized Student Organization.
RSO,What is the meaning of RSO?,RSO stands for Recognized Student Organization.
SAO,What is SAO?,SAO stands for Student Activities Office.
SAO,What is the meaning of SAO?,SAO stands for Student Activities Office.
SAP,What is SAP?,SAP stands for Student Assistantship Program.
SAP,What is the meaning of SAP?,SAP stands for Student Assistantship Program.
SAT,What is SAT?,SAT stands for Student Admission Test.
SAT,What is the meaning of SAT?,SAT stands for Student Admission Test.
SCE,What is SCE?,SCE stands for Student Commission on Election.
SCE,What is the meaning of SCE?,SCE stands for Student Commission on Election.
SDAO,What is SDAO?,SDAO stands for Student Development and Activities Office.
SDAO,What is the meaning of SDAO?,SDAO stands for Student Development and Activities Office.
SDO,What is SDO?,SDO stands for Sports Development Office.
SDO,What is the meaning of SDO?,SDO stands for Sports Development Office.
SGB,What is SGB?,SGB stands for Student Grievance Board.
SGB,What is the meaning of SGB?,SGB stands for Student Grievance Board.
SWAFO,What is SWAFO?,SWAFO stands for Student Welfare and Formation Office.
SWAFO,What is the meaning of SWAFO?,SWAFO stands for Student Welfare and Formation Office.
SWC,What is SWC?,SWC stands for Student Wellness Center.
SWC,What is the meaning of SWC?,SWC stands for Student Wellness Center.
TOR,What is TOR?,TOR stands for Transcript of Records.
TOR,What is the meaning of TOR?,TOR stands for Transcript of Records.
UAO,What is UAO?,UAO stands for University Advancement Office.
UAO,What is the meaning of UAO?,UAO stands for University Advancement Office.
UDB,What is UDB?,UDB stands for University Discipline Board.
UDB,What is the meaning of UDB?,UDB stands for University Discipline Board.
ULAP,What is ULAP?,ULAP stands for University Life Advancement Program.
ULAP,What is the meaning of ULAP?,ULAP stands for University Life Advancement Program.
ULS,What is ULS?,ULS stands for Ugnayang La Salle.
ULS,What is the meaning of ULS?,ULS stands for Ugnayang La Salle.
USG,What is USG?,USG stands for University Student Government.
USG,What is the meaning of USG?,USG stands for University Student Government.
VCAR,What is VCAR?,VCAR stands for Vice Chancellor for Academics and Research.
VCAR,What is the meaning of VCAR?,VCAR stands for Vice Chancellor for Academics and Research.
VCFAS,What is VCFAS?,VCFAS stands for Vice Chancellor for Finance and Administrative Services.
VCFAS,What is the meaning of VCFAS?,VCFAS stands for Vice Chancellor for Finance and Administrative Services.
VCMEAA,What is VCMEAA?,"VCMEAA stands for Vice Chancellor for Mission, External Affairs and Advancement."
VCMEAA,What is the meaning of VCMEAA?,"VCMEAA stands for Vice Chancellor for Mission, External Affairs and Advancement."
VPAPU,What is VPAPU?,VPAPU stands for Visual and Performing Arts Production Unit.
VPAPU,What is the meaning of VPAPU?,VPAPU stands for Visual and Performing Arts Production Unit.
University Vision,What is the vision of the university?,"The vision of De La Salle University – Dasmariñas is to be a Filipino Catholic University established and managed by the De La Salle Brothers and their lay partners. It aims to respond to the needs of the Church and the Nation for human and Christian education, particularly for the youth at risk. The university, guided by Lasallian values of Faith, Service, and Communion, seeks to participate meaningfully in social transformation by forming God-centered, people-oriented, and patriotic individuals who serve as responsible and professionally competent stewards of God’s creation."
University Vision,Describe the university's vision.,"The vision of De La Salle University – Dasmariñas is to be a Filipino Catholic University established and managed by the De La Salle Brothers and their lay partners. It aims to respond to the needs of the Church and the Nation for human and Christian education, particularly for the youth at risk. The university, guided by Lasallian values of Faith, Service, and Communion, seeks to participate meaningfully in social transformation by forming God-centered, people-oriented, and patriotic individuals who serve as responsible and professionally competent stewards of God’s creation."
University Vision,Explain the vision statement.,"The vision of De La Salle University – Dasmariñas is to be a Filipino Catholic University established and managed by the De La Salle Brothers and their lay partners. It aims to respond to the needs of the Church and the Nation for human and Christian education, particularly for the youth at risk. The university, guided by Lasallian values of Faith, Service, and Communion, seeks to participate meaningfully in social transformation by forming God-centered, people-oriented, and patriotic individuals who serve as responsible and professionally competent stewards of God’s creation."
University Vision,Can you tell me about the vision?,"The vision of De La Salle University – Dasmariñas is to be a Filipino Catholic University established and managed by the De La Salle Brothers and their lay partners. It aims to respond to the needs of the Church and the Nation for human and Christian education, particularly for the youth at risk. The university, guided by Lasallian values of Faith, Service, and Communion, seeks to participate meaningfully in social transformation by forming God-centered, people-oriented, and patriotic individuals who serve as responsible and professionally competent stewards of God’s creation."
University Mission,Tell me about the mission statement.,"To realize its vision, De La Salle University – Dasmariñas strives to become a leading institution nationally and globally in the integral formation of the youth. This involves offering relevant, responsive, and community-oriented academic programs, research and extension services, and promoting a keen sense of history, arts, and culture. Following in the footsteps of Saint John Baptist De La Salle, the university continues to transform itself into a caring community guided by Gospel. values, with a fervent spirit of service, love for learning, and excellence through a holistic approach."""
University Mission,What are the goals of the university?,"To realize its vision, De La Salle University – Dasmariñas strives to become a leading institution nationally and globally in the integral formation of the youth. This involves offering relevant, responsive, and community-oriented academic programs, research and extension services, and promoting a keen sense of history, arts, and culture. Following in the footsteps of Saint John Baptist De La Salle, the university continues to transform itself into a caring community guided by Gospel. values, with a fervent spirit of service, love for learning, and excellence through a holistic approach."""
University Mission,Explain the mission of the university.,"To realize its vision, De La Salle University – Dasmariñas strives to become a leading institution nationally and globally in the integral formation of the youth. This involves offering relevant, responsive, and community-oriented academic programs, research and extension services, and promoting a keen sense of history, arts, and culture. Following in the footsteps of Saint John Baptist De La Salle, the university continues to transform itself into a caring community guided by Gospel. values, with a fervent spirit of service, love for learning, and excellence through a holistic approach."""
University Mission,Describe the university's mission.,"To realize its vision, De La Salle University – Dasmariñas strives to become a leading institution nationally and globally in the integral formation of the youth. This involves offering relevant, responsive, and community-oriented academic programs, research and extension services, and promoting a keen sense of history, arts, and culture. Following in the footsteps of Saint John Baptist De La Salle, the university continues to transform itself into a caring community guided by Gospel. values, with a fervent spirit of service, love for learning, and excellence through a holistic approach."""
LasallianStudents,Who are the Lasallian students?,"Lasallian learners are unique and gifted individuals who strive to integrate Gospel perspectives and values in the conduct of their daily lives; are committed to excellence in order to be of greater service to GOD and country; take progressive responsibility for their own learning and development; express concern and compassion for the plight of the vulnerable and marginalized sectors of society and respond to their needs; and work together creatively, constructively, and enthusiastically to support the Lasallian Mission."
LasallianStudents,Describe Lasallian learners.,"Lasallian learners are unique and gifted individuals who strive to integrate Gospel perspectives and values in the conduct of their daily lives; are committed to excellence in order to be of greater service to GOD and country; take progressive responsibility for their own learning and development; express concern and compassion for the plight of the vulnerable and marginalized sectors of society and respond to their needs; and work together creatively, constructively, and enthusiastically to support the Lasallian Mission."
LasallianStudents,What defines Lasallian students?,"Lasallian learners are unique and gifted individuals who strive to integrate Gospel perspectives and values in the conduct of their daily lives; are committed to excellence in order to be of greater service to GOD and country; take progressive responsibility for their own learning and development; express concern and compassion for the plight of the vulnerable and marginalized sectors of society and respond to their needs; and work together creatively, constructively, and enthusiastically to support the Lasallian Mission."
LasallianStudents,Tell me about students in the Lasallian tradition.,"Lasallian learners are unique and gifted individuals who strive to integrate Gospel perspectives and values in the conduct of their daily lives; are committed to excellence in order to be of greater service to GOD and country; take progressive responsibility for their own learning and development; express concern and compassion for the plight of the vulnerable and marginalized sectors of society and respond to their needs; and work together creatively, constructively, and enthusiastically to support the Lasallian Mission."
AlmaMaterHymn,What is the Alma Mater Hymn?,"The Alma Mater Hymn goes as follows: Hail, Hail Alma Mater Hail to De La Salle We'll hold your banner High and bright A shield of Green and White We'll fight to keep your glory bright And never shall we fail Hail to Thee Our Alma Mater Hail, Hail, Hail"
AlmaMaterHymn,Can you tell me about the Alma Mater Hymn?,"The Alma Mater Hymn goes as follows: Hail, Hail Alma Mater Hail to De La Salle We'll hold your banner High and bright A shield of Green and White We'll fight to keep your glory bright And never shall we fail Hail to Thee Our Alma Mater Hail, Hail, Hail"
AlmaMaterHymn,Recite the Alma Mater Hymn.,"The Alma Mater Hymn goes as follows: Hail, Hail Alma Mater Hail to De La Salle We'll hold your banner High and bright A shield of Green and White We'll fight to keep your glory bright And never shall we fail Hail to Thee Our Alma Mater Hail, Hail, Hail"
AlmaMaterHymn,Describe the Alma Mater Hymn.,"The Alma Mater Hymn goes as follows: Hail, Hail Alma Mater Hail to De La Salle We'll hold your banner High and bright A shield of Green and White We'll fight to keep your glory bright And never shall we fail Hail to Thee Our Alma Mater Hail, Hail, Hail"
LasallianPrayers,Tell me about the Three Basic Lasallian Prayers.,"The Three Basic Lasallian Prayers are: 1. 'Let us remember that we are in the holy presence of God.' 2. 'I will continue, O my God, to do all my actions for the love of You.' 3. 'Live JESUS in our hearts. Forever!'"
LasallianPrayers,What are the Three Basic Lasallian Prayers?,"The Three Basic Lasallian Prayers are: 1. 'Let us remember that we are in the holy presence of God.' 2. 'I will continue, O my God, to do all my actions for the love of You.' 3. 'Live JESUS in our hearts. Forever!'"
LasallianPrayers,Describe the Lasallian prayers.,"The Three Basic Lasallian Prayers are: 1. 'Let us remember that we are in the holy presence of God.' 2. 'I will continue, O my God, to do all my actions for the love of You.' 3. 'Live JESUS in our hearts. Forever!'"
CentennialPrayer,Tell me about the Centennial Prayer.,"The Centennial Prayer is as follows: Let me be the change I want to see To do with strength and wisdom All that needs to be done. And become the hope that I can be. Set me free from my fears and hesitations Grant me courage and humility Fill me with spirit to face the challenge And start the change I long to see. Today I start the change I want to see Even if I'm not the light I can be the spark In faith, service, and communion Let us start the change we want to see The change that begins in me Live JESUS in our hearts FOREVER!"
CentennialPrayer,What is the Centennial Prayer?,"The Centennial Prayer is as follows: Let me be the change I want to see To do with strength and wisdom All that needs to be done. And become the hope that I can be. Set me free from my fears and hesitations Grant me courage and humility Fill me with spirit to face the challenge And start the change I long to see. Today I start the change I want to see Even if I'm not the light I can be the spark In faith, service, and communion Let us start the change we want to see The change that begins in me Live JESUS in our hearts FOREVER!"
CentennialPrayer,Describe the prayer for the centennial.,"The Centennial Prayer is as follows: Let me be the change I want to see To do with strength and wisdom All that needs to be done. And become the hope that I can be. Set me free from my fears and hesitations Grant me courage and humility Fill me with spirit to face the challenge And start the change I long to see. Today I start the change I want to see Even if I'm not the light I can be the spark In faith, service, and communion Let us start the change we want to see The change that begins in me Live JESUS in our hearts FOREVER!"
JohnBaptistDeLaSalle,Who is St. John Baptist De La Salle?,"St. John Baptist De La Salle was the founder of the Institute of the Brothers of the Christian Schools. Born at Reims in France over 300 years ago, he was the first son of wealthy parents. De La Salle received the tonsure at age eleven and became Canon of the Reims Cathedral at sixteen. After the death of his parents, he assumed the administration of family affairs, completed theological studies, and was ordained a priest in 1678. Two years later, he received a doctorate in theology."
DeLaSalleEarlyLife,Tell me about the early life of John Baptist De La Salle.,"John Baptist De La Salle was born at Reims, France, over 300 years ago. He was the first son of wealthy parents, receiving the tonsure at age eleven and becoming Canon of the Reims Cathedral at sixteen."
DeLaSalleEarlyLife,Where was John Baptist De La Salle born?,"John Baptist De La Salle was born at Reims, France, over 300 years ago. He was the first son of wealthy parents, receiving the tonsure at age eleven and becoming Canon of the Reims Cathedral at sixteen."
DeLaSalleEarlyLife,Describe the upbringing of John Baptist De La Salle.,"John Baptist De La Salle was born at Reims, France, over 300 years ago. He was the first son of wealthy parents, receiving the tonsure at age eleven and becoming Canon of the Reims Cathedral at sixteen."
DeLaSalleEducation,What education did John Baptist De La Salle receive?; Tell me about the educational background of John Baptist De La Salle.; Describe the academic journey of John Baptist De La Salle.,"John Baptist De La Salle completed his theological studies and was ordained a priest on April 9, 1678. Two years later, he received a doctorate in theology."
DeLaSalleMission,What was the mission of John Baptist De La Salle?,"Moved by the plight of the poor, especially children with little hope for the future, John Baptist De La Salle dedicated himself to establishing schools for poor boys. His mission was to provide quality education for those often left to themselves and badly brought up."
DeLaSalleMission,Describe the goals of the Brothers of the Christian Schools.,"Moved by the plight of the poor, especially children with little hope for the future, John Baptist De La Salle dedicated himself to establishing schools for poor boys. His mission was to provide quality education for those often left to themselves and badly brought up."
DeLaSalleMission,Explain the purpose of establishing schools for poor boys by John Baptist De La Salle.,"Moved by the plight of the poor, especially children with little hope for the future, John Baptist De La Salle dedicated himself to establishing schools for poor boys. His mission was to provide quality education for those often left to themselves and badly brought up."
DeLaSalleLegacy,What is the legacy of John Baptist De La Salle?,"John Baptist De La Salle's legacy includes pioneering training colleges for teachers, reform schools for delinquents, technical schools, and secondary schools for modern languages, arts, and sciences. His work quickly spread throughout France and, after his death, continued to spread across the globe. In 1900, he was declared a Saint, and in 1950, he was made the Patron Saint of all those who work in the field of education."
DeLaSalleLegacy,How did the work of John Baptist De La Salle continue after his death?,"John Baptist De La Salle's legacy includes pioneering training colleges for teachers, reform schools for delinquents, technical schools, and secondary schools for modern languages, arts, and sciences. His work quickly spread throughout France and, after his death, continued to spread across the globe. In 1900, he was declared a Saint, and in 1950, he was made the Patron Saint of all those who work in the field of education."
DeLaSalleLegacy,Tell me about the impact of John Baptist De La Salle's teachings.,"John Baptist De La Salle's legacy includes pioneering training colleges for teachers, reform schools for delinquents, technical schools, and secondary schools for modern languages, arts, and sciences. His work quickly spread throughout France and, after his death, continued to spread across the globe. In 1900, he was declared a Saint, and in 1950, he was made the Patron Saint of all those who work in the field of education."
SaintSolomonLeclercq,Who is Saint Solomon Leclercq?,"Saint Solomon Leclercq is the patron of CBAA (College of Business Administration and Accountancy) at DLSU-D. His feast day is celebrated on September 2. He was a teacher, director, and bursar known for his great love of people and his work. Additionally, he served as the secretary to Brother Agathon, the Superior General. Saint Solomon Leclercq was imprisoned for refusing to take an oath during the French Revolution."
SaintSolomonLeclercq,Tell me about the patron of CBAA at DLSU-D.,"Saint Solomon Leclercq is the patron of CBAA (College of Business Administration and Accountancy) at DLSU-D. His feast day is celebrated on September 2. He was a teacher, director, and bursar known for his great love of people and his work. Additionally, he served as the secretary to Brother Agathon, the Superior General. Saint Solomon Leclercq was imprisoned for refusing to take an oath during the French Revolution."
SaintSolomonLeclercq,Describe Saint Solomon Leclercq.,"Saint Solomon Leclercq is the patron of CBAA (College of Business Administration and Accountancy) at DLSU-D. His feast day is celebrated on September 2. He was a teacher, director, and bursar known for his great love of people and his work. Additionally, he served as the secretary to Brother Agathon, the Superior General. Saint Solomon Leclercq was imprisoned for refusing to take an oath during the French Revolution."
StMarcianoJose,Who is St. Marciano Jose?,"St. Marciano Jose is the patron of CTHM (College of Tourism and Hospitality Management) at DLSU-D. His feast day is celebrated on October 9. He was a Brother who lived in Spain during the Spanish Civil War and is recognized as one of the nine Martyrs of Turon. St. Marciano Jose was known to be a culinarian and sous chef, serving his Brothers with patience and humility."
StMarcianoJose,Tell me about the patron of CTHM at DLSU-D,"St. Marciano Jose is the patron of CTHM (College of Tourism and Hospitality Management) at DLSU-D. His feast day is celebrated on October 9. He was a Brother who lived in Spain during the Spanish Civil War and is recognized as one of the nine Martyrs of Turon. St. Marciano Jose was known to be a culinarian and sous chef, serving his Brothers with patience and humility."
StMarcianoJose,Describe St. Marciano Jose.,"St. Marciano Jose is the patron of CTHM (College of Tourism and Hospitality Management) at DLSU-D. His feast day is celebrated on October 9. He was a Brother who lived in Spain during the Spanish Civil War and is recognized as one of the nine Martyrs of Turon. St. Marciano Jose was known to be a culinarian and sous chef, serving his Brothers with patience and humility."
BlessedJoseCecilio,Who is Blessed Jose Cecilio?,"Blessed Jose Cecilio is the patron of CEAT (College of Engineering, Architecture and Technology) at DLSU-D. His feast day is celebrated on November 16. He was one of the seven Martyrs of Almeria, known for teaching in the Province of Almeria during the Spanish Civil War. Blessed Jose Cecilio was condemned to death by Spanish soldiers for teaching and professing the Catholic faith. Additionally, he was known to be a builder of schools."
BlessedJoseCecilio,Tell me about the patron of CEAT at DLSU-D.,"Blessed Jose Cecilio is the patron of CEAT (College of Engineering, Architecture and Technology) at DLSU-D. His feast day is celebrated on November 16. He was one of the seven Martyrs of Almeria, known for teaching in the Province of Almeria during the Spanish Civil War. Blessed Jose Cecilio was condemned to death by Spanish soldiers for teaching and professing the Catholic faith. Additionally, he was known to be a builder of schools."
BlessedJoseCecilio,Describe Blessed Jose Cecilio.,"Blessed Jose Cecilio is the patron of CEAT (College of Engineering, Architecture and Technology) at DLSU-D. His feast day is celebrated on November 16. He was one of the seven Martyrs of Almeria, known for teaching in the Province of Almeria during the Spanish Civil War. Blessed Jose Cecilio was condemned to death by Spanish soldiers for teaching and professing the Catholic faith. Additionally, he was known to be a builder of schools."
StMutienMarieWiaux,Who is St. Mutien Marie Wiaux?,"St. Mutien Marie Wiaux is the patron of CCJE (College of Criminal Justice Education) at DLSU-D. His feast day is celebrated on January 30. He gained the reputation of strictly living according to the rule of the Institute. While initially finding it difficult to combine spirituality and discipline, he soon grew into an effective teacher. St. Mutien Marie Wiaux became a Prefect of Discipline and was known for his patience and piety."
StMutienMarieWiaux,Tell me about the patron of CCJE at DLSU-D.,"St. Mutien Marie Wiaux is the patron of CCJE (College of Criminal Justice Education) at DLSU-D. His feast day is celebrated on January 30. He gained the reputation of strictly living according to the rule of the Institute. While initially finding it difficult to combine spirituality and discipline, he soon grew into an effective teacher. St. Mutien Marie Wiaux became a Prefect of Discipline and was known for his patience and piety."
StMutienMarieWiaux,Describe St. Mutien Marie Wiaux.,"St. Mutien Marie Wiaux is the patron of CCJE (College of Criminal Justice Education) at DLSU-D. His feast day is celebrated on January 30. He gained the reputation of strictly living according to the rule of the Institute. While initially finding it difficult to combine spirituality and discipline, he soon grew into an effective teacher. St. Mutien Marie Wiaux became a Prefect of Discipline and was known for his patience and piety."
StMiguelFebresCordero,Who is St. Miguel Febres Cordero?,"St. Miguel Febres Cordero is the patron of CLAC (College of Liberal Arts and Communication) at DLSU-D. His feast day is celebrated on February 9. He published many books, with the foremost being a Spanish grammar book that became the standard text during his time. St. Miguel Febres Cordero was a researcher and scholar in literature and linguistics. He is admired for his simplicity and devotion to the Sacred Heart and Virgin Mary."
StMiguelFebresCordero,Tell me about the patron of CLAC at DLSU-D.,"St. Miguel Febres Cordero is the patron of CLAC (College of Liberal Arts and Communication) at DLSU-D. His feast day is celebrated on February 9. He published many books, with the foremost being a Spanish grammar book that became the standard text during his time. St. Miguel Febres Cordero was a researcher and scholar in literature and linguistics. He is admired for his simplicity and devotion to the Sacred Heart and Virgin Mary."
StMiguelFebresCordero,Describe St. Miguel Febres Cordero.,"St. Miguel Febres Cordero is the patron of CLAC (College of Liberal Arts and Communication) at DLSU-D. His feast day is celebrated on February 9. He published many books, with the foremost being a Spanish grammar book that became the standard text during his time. St. Miguel Febres Cordero was a researcher and scholar in literature and linguistics. He is admired for his simplicity and devotion to the Sacred Heart and Virgin Mary."
BlessedScubillionRousseau,Who is Blessed Scubillion Rousseau?,Blessed Scubillion Rousseau is the patron of COEd (College of Education) at DLSU-D. His feast day is celebrated on September 27. He dedicated the remaining 34 years of his life to the enslaved natives on the Island of Reunion in the Indian Ocean. Blessed Scubillion Rousseau started an evening school and devised programs and techniques suited for the educational needs of students. He is known for his kindness and great respect for students.
BlessedScubillionRousseau,Tell me about the patron of COEd at DLSU-D.,Blessed Scubillion Rousseau is the patron of COEd (College of Education) at DLSU-D. His feast day is celebrated on September 27. He dedicated the remaining 34 years of his life to the enslaved natives on the Island of Reunion in the Indian Ocean. Blessed Scubillion Rousseau started an evening school and devised programs and techniques suited for the educational needs of students. He is known for his kindness and great respect for students.
BlessedScubillionRousseau,Describe Blessed Scubillion Rousseau.,Blessed Scubillion Rousseau is the patron of COEd (College of Education) at DLSU-D. His feast day is celebrated on September 27. He dedicated the remaining 34 years of his life to the enslaved natives on the Island of Reunion in the Indian Ocean. Blessed Scubillion Rousseau started an evening school and devised programs and techniques suited for the educational needs of students. He is known for his kindness and great respect for students.
BlessedArnoldJulesNicolasReche,Who is Blessed Arnold Jules-Nicolas Reche?,Blessed Arnold Jules-Nicolas Rèche is the patron of CSCS (College of Science and Computer Studies) at DLSU-D. His feast day is celebrated on October 23. He is known for his piety and discipline. Blessed Arnold Jules-Nicolas Rèche worked with other Brothers for the medical and spiritual care of wounded soldiers during the Franco-Prussian war. He is attributed with some cures and miracles.
BlessedArnoldJulesNicolasReche,Tell me about the patron of CSCS at DLSU-D.,Blessed Arnold Jules-Nicolas Rèche is the patron of CSCS (College of Science and Computer Studies) at DLSU-D. His feast day is celebrated on October 23. He is known for his piety and discipline. Blessed Arnold Jules-Nicolas Rèche worked with other Brothers for the medical and spiritual care of wounded soldiers during the Franco-Prussian war. He is attributed with some cures and miracles.
